"Sexe","Age","Contrat","Dur�e hebdo","Salaire base mensuel","%variable_moyen","Augmentation","Promotion","Service","Work_accident","Niveau de satisfaction"
"H","36-50 ans","CDI",35,9999.3833,27,0,0,"Marketing","Non",34
"H","36-50 ans","CDI",35,9978.15,34,0,0,"Compta Finances","Non",78
"H","36-50 ans","CDI",35,9940.2333,24,0,0,"Marketing","Non",45
"H","19-35 ans","CDI",35,9928.1,27,1,1,"RH","Non",58
"F","36-50 ans","CDI",35,9873.5,13,0,0,"Consultant","Non",60
"H","19-35 ans","CDI",35,9785.5333,28,0,0,"Commercial","Oui",40
"F","36-50 ans","CDI",35,9782.5,38,0,0,"Consultant","Non",69
"F","36-50 ans","CDI",35,9777.95,4,1,0,"Commercial","Oui",13
"H","51 ans et plus","CDI",35,9737,12,1,1,"Consultant","Non",72
"H","51 ans et plus","CDI",35,9642.9667,17,0,0,"RH","Non",3
"H","36-50 ans","CDI",35,9635.3833,19,1,0,"RH","Oui",32
"H","36-50 ans","CDI",35,9573.2,5,1,0,"Informatique","Non",77
"H","36-50 ans","CDI",35,9573.2,7,0,0,"Commercial","Oui",48
"F","19-35 ans","CDI",35,9555,20,1,0,"Commercial","Non",15
"F","36-50 ans","CDI",35,9497.3667,17,1,0,"Commercial","Non",81
"H","51 ans et plus","CDI",35,9488.2667,38,1,1,"Commercial","Non",52
"H","36-50 ans","CDI",35,9447.3167,0,1,0,"Consultant","Non",1
"F","36-50 ans","CDI",35,9426.0833,24,1,0,"Consultant","Non",9
"H","51 ans et plus","CDI",35,9400.3,3,1,0,"Consultant","Non",25
"F","36-50 ans","CDI",35,9366.9333,8,1,1,"Informatique","Non",74
"F","51 ans et plus","CDI",35,9256.2167,1,1,0,"Compta Finances","Non",84
"F","36-50 ans","CDI",35,9218.3,4,0,0,"Marketing","Non",69
"F","51 ans et plus","CDI",35,9162.1833,17,1,0,"Consultant","Non",7
"H","51 ans et plus","CDI",35,9096.9667,21,0,0,"Informatique","Oui",8
"H","36-50 ans","CDI",35,9069.6667,1,0,0,"Commercial","Non",11
