Langage,Nom,Type,Déjà_connu,Maîtrise,À_travailler,Objectif_personnel,Étoiles,Date,Description
Python,markitdown,Autre,,,oui,,2403,2025-07,Python tool for converting files and office documents to Markdown.
Python,localGPT,Data,,,oui,,45,2025-07,Chat with your documents on your local device using GPT models. No data leaves your device and 100% private.
Python,erpnext,Autre,,,oui,,333,2025-07,Free and Open Source Enterprise Resource Planning (ERP)
Python,ART,ML,,,oui,,429,2025-07,"Agent Reinforcement Trainer: train multi-step agents for real-world tasks using GRPO. Give your agents on-the-job training. Reinforcement learning for Qwen2.5, Qwen3, Llama, Kimi, and more!"
Python,mcp-agent,NLP,,,oui,,50,2025-07,Build effective agents using Model Context Protocol and simple workflow patterns
Python,vanna,Data,,,oui,,146,2025-07,🤖 Chat with your SQL database 📊. Accurate Text-to-SQL Generation via LLMs using RAG 🔄.
Python,OpenBB,Autre,,,oui,,342,2025-07,"Investment Research for Everyone, Everywhere."
Python,mindsdb,Data,,,oui,,233,2025-07,AI's query engine - Platform for building AI that can answer questions over large scale federated data. - The only MCP Server you'll ever need
Python,graphiti,DataViz,,,oui,,398,2025-07,Build Real-Time Knowledge Graphs for AI Agents
Python,qlib,ML,,,oui,,79,2025-07,"Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process."
Python,Second-Me,ML,,,oui,,28,2025-07,"Train your AI self, amplify you, bridge the world"
Python,KubeDiagrams,DataViz,,,oui,,37,2025-07,"Generate Kubernetes architecture diagrams from Kubernetes manifest files, kustomization files, Helm charts, helmfiles, and actual cluster state"
Python,Ghost-Downloader-3,ML,,,oui,,123,2025-07,A cross-platform QUIC AI-boost fluent-design multi-threaded downloader built with Python.
Python,localstack,Autre,,,oui,,44,2025-07,💻 A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline
Python,agent-zero,ML,,,oui,,24,2025-07,Agent Zero AI framework
Python,server,Autre,,,oui,,8,2025-07,The Triton Inference Server provides an optimized cloud and edge inferencing solution.
R,mlr3extralearners,ML,,,oui,,0,2025-07,Extra learners for use in mlr3.
R,seurat,Autre,,,oui,,1,2025-07,R toolkit for single cell genomics
R,ggplot2,DataViz,,,oui,,0,2025-07,An implementation of the Grammar of Graphics in R
R,CellChat,Data,,,oui,,0,2025-07,"R toolkit for inference, visualization and analysis of cell-cell communication from single-cell data"
R,DoubletFinder,Data,,,oui,,0,2025-07,R package for detecting doublets in single-cell RNA sequencing data
R,infercnv,Autre,,,oui,,0,2025-07,Inferring CNV from Single-Cell RNA-Seq
R,data.table,Data,,,oui,,1,2025-07,R's data.table package extends data.frame:
R,rmarkdown,Autre,,,oui,,0,2025-07,Dynamic Documents for R
R,reticulate,Autre,,,oui,,0,2025-07,R Interface to Python
R,clusterProfiler,Data,,,oui,,0,2025-07,📊 A universal enrichment tool for interpreting omics data
R,dplyr,Data,,,oui,,0,2025-07,dplyr: A grammar of data manipulation
R,nichenetr,ML,,,oui,,0,2025-07,NicheNet: predict active ligand-target links between interacting cells
R,ComplexHeatmap,Autre,,,oui,,0,2025-07,Make Complex Heatmaps
R,swirl_courses,Autre,,,oui,,1,2025-07,🎓 A collection of interactive courses for the swirl R package.
R,signac,Data,,,oui,,0,2025-07,R toolkit for the analysis of single-cell chromatin data
R,monocle3,Autre,,,oui,,0,2025-07,Pas de description
R,sf,ML,,,oui,,0,2025-07,Simple Features for R
R,harmony,Data,,,oui,,0,2025-07,"Fast, sensitive and accurate integration of single-cell data with Harmony"
R,shiny,Autre,,,oui,,0,2025-07,Easy interactive web applications with R
R,ProgrammingAssignment2,Autre,,,oui,,0,2025-07,Repository for Programming Assignment 2 for R Programming on Coursera
R,phyloseq,Data,,,oui,,0,2025-07,"phyloseq is a set of classes, wrappers, and tools (in R) to make it easier to import, store, and analyze phylogenetic sequencing data; and to reproducibly share that data and analysis with others. See the phyloseq front page:"
R,renv,Autre,,,oui,,0,2025-07,renv: Project environments for R.
R,dada2,Data,,,oui,,0,2025-07,Accurate sample inference from amplicon data with single nucleotide resolution
Julia,TensorKit.jl,Autre,,,oui,,0,2025-07,"A Julia package for large-scale tensor computations, with a hint of category theory"
Julia,julia,NLP,,,oui,,6,2025-07,The Julia Programming Language
Julia,General,Autre,,,oui,,0,2025-07,The official registry of general Julia packages
Julia,Makie.jl,Data,,,oui,,0,2025-07,Interactive data visualizations and plotting in Julia
Jupyter,segment-anything,ML,,,oui,,23,2025-07,"The repository provides code for running inference with the SegmentAnything Model (SAM), links for downloading the trained model checkpoints, and example notebooks that show how to use the model."
Jupyter,llm-app,Data,,,oui,,160,2025-07,"Ready-to-run cloud templates for RAG, AI pipelines, and enterprise search with live data. 🐳Docker-friendly.⚡Always in sync with Sharepoint, Google Drive, S3, Kafka, PostgreSQL, real-time data APIs, and more."
Jupyter,Qwen2.5-VL,NLP,,,oui,,28,2025-07,"Qwen2.5-VL is the multimodal large language model series developed by Qwen team, Alibaba Cloud."
Jupyter,sam2,ML,,,oui,,34,2025-07,"The repository provides code for running inference with the Meta Segment Anything Model 2 (SAM 2), links for downloading the trained model checkpoints, and example notebooks that show how to use the model."
Jupyter,AI-For-Beginners,ML,,,oui,,43,2025-07,"12 Weeks, 24 Lessons, AI for All!"
Jupyter,generative-ai-for-beginners,ML,,,oui,,57,2025-07,"21 Lessons, Get Started Building with Generative AI 🔗 https://microsoft.github.io/generative-ai-for-beginners/"
Jupyter,mlops-zoomcamp,Data,,,oui,,13,2025-07,Free MLOps course from DataTalks.Club
Jupyter,rag-from-scratch,Autre,,,oui,,4,2025-07,Pas de description
Jupyter,GenAI_Agents,ML,,,oui,,57,2025-07,"This repository provides tutorials and implementations for various Generative AI Agent techniques, from basic to advanced. It serves as a comprehensive guide for building intelligent, interactive AI systems."
Jupyter,langchain-academy,Autre,,,oui,,8,2025-07,Pas de description
Jupyter,RAG_Techniques,NLP,,,oui,,37,2025-07,This repository showcases various advanced techniques for Retrieval-Augmented Generation (RAG) systems. RAG systems combine information retrieval with generative models to provide accurate and contextually rich responses.
Jupyter,learn-agentic-ai,DataViz,,,oui,,9,2025-07,"Learn Agentic AI using Dapr Agentic Cloud Ascent (DACA) Design Pattern and Agent-Native Cloud Technologies: OpenAI Agents SDK, Memory, MCP, A2A, Knowledge Graphs, Dapr, Rancher Desktop, and Kubernetes."
Jupyter,gateway-api-inference-extension,Autre,,,oui,,3,2025-07,Gateway API Inference Extension
Jupyter,ml-course-hse,Autre,,,oui,,5,2025-07,Машинное обучение на ФКН ВШЭ
Jupyter,deepmind-research,ML,,,oui,,1,2025-07,This repository contains implementations and illustrative code to accompany DeepMind publications
Jupyter,ai-engineering-hub,ML,,,oui,,85,2025-07,"In-depth tutorials on LLMs, RAGs and real-world AI agent applications."
Jupyter,Python-100-Days,Autre,,,oui,,69,2025-07,Python - 100天从新手到大师
Jupyter,langchain,NLP,,,oui,,94,2025-07,🦜🔗 Build context-aware reasoning applications
Jupyter,fabric-toolbox,Autre,,,oui,,3,2025-07,"Fabric toolbox is a repository of tools, accelerators, scripts, and samples to accelerate your success with Microsoft Fabric, brought to you by Fabric CAT."
Jupyter,Isaac-GR00T,Autre,,,oui,,7,2025-07,NVIDIA Isaac GR00T N1.5 is the world's first open foundation model for generalized humanoid robot reasoning and skills.
Jupyter,Data-Science-Projects,Data,,,oui,,4,2025-07,Collection of data science projects in Python
