Langage,Nom,Type,Déjà_connu,Maîtrise,À_travailler,Objectif_personnel,Étoiles,Date,Description
Python,computer-use-preview,Autre,,,oui,,59,2026-01,Pas de description
Python,pg-aiguide,ML,,,oui,,314,2026-01,MCP server and Claude plugin for Postgres skills and documentation. Helps AI coding tools generate better PostgreSQL code.
Python,TrendRadar,ML,,,oui,,141,2026-01,🎯 告别信息过载，AI 助你看懂新闻资讯热点，支持 RSS 订阅，简单的舆情监控分析 - 多平台热点聚合+基于 MCP 的AI分析工具。监控35个平台（抖音、知乎、B站、华尔街见闻、财联社等），智能筛选+自动推送+AI对话分析（用自然语言深度挖掘新闻：趋势追踪、情感分析、相似检索等20种工具）。支持企业微信/个人微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 推送，30秒快速部署，1分钟手机通知，无需编程。支持Docker部署，支持数据远程云存储⭐ 让算法为你服务，用AI理解热点
Python,chatterbox,Autre,,,oui,,436,2026-01,SoTA open-source TTS
Python,metube,Autre,,,oui,,252,2026-01,Self-hosted YouTube downloader (web UI for youtube-dl / yt-dlp)
Python,Deep-Live-Cam,Autre,,,oui,,80,2026-01,real time face swap and one-click video deepfake with only a single image
Python,pathway,Data,,,oui,,798,2026-01,"Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG."
Python,SongGeneration,Autre,,,oui,,87,2026-01,The official code repository for LeVo: High-Quality Song Generation with Multi-Preference Alignment
Python,olmocr,Data,,,oui,,30,2026-01,Toolkit for linearizing PDFs for LLM datasets/training
Python,scipy,ML,,,oui,,3,2026-01,SciPy library main repository
Python,skills,Autre,,,oui,,842,2026-01,Public repository for Agent Skills
Python,awesome-math,Autre,,,oui,,14,2026-01,A curated list of awesome mathematics resources
Python,docetl,Data,,,oui,,15,2026-01,A system for agentic LLM-powered data processing and ETL
Python,WhisperJAV,Autre,,,oui,,116,2026-01,Pas de description
Python,checkov,ML,,,oui,,6,2026-01,"Prevent cloud misconfigurations and find vulnerabilities during build-time in infrastructure as code, container images and open source packages with Checkov by Bridgecrew."
Jupyter,openai-cookbook,ML,,,oui,,44,2026-01,Examples and guides for using the OpenAI API
Jupyter,Hands-On-Large-Language-Models,NLP,,,oui,,101,2026-01,"Official code repo for the O'Reilly Book - ""Hands-On Large Language Models"""
Jupyter,llm-app,Data,,,oui,,750,2026-01,"Ready-to-run cloud templates for RAG, AI pipelines, and enterprise search with live data. 🐳Docker-friendly.⚡Always in sync with Sharepoint, Google Drive, S3, Kafka, PostgreSQL, real-time data APIs, and more."
Jupyter,Qwen3-VL,NLP,,,oui,,18,2026-01,"Qwen3-VL is the multimodal large language model series developed by Qwen team, Alibaba Cloud."
Jupyter,AI-For-Beginners,ML,,,oui,,24,2026-01,"12 Weeks, 24 Lessons, AI for All!"
Jupyter,CLIP,ML,,,oui,,11,2026-01,"CLIP (Contrastive Language-Image Pretraining), Predict the most relevant text snippet given an image"
Jupyter,python-docs-samples,Autre,,,oui,,1,2026-01,Code samples used on cloud.google.com
Jupyter,dio-lab-open-source,Autre,,,oui,,1,2026-01,"Repositório do lab ""Contribuindo em um Projeto Open Source no GitHub"" da Digital Innovation One."
Jupyter,Isaac-GR00T,Autre,,,oui,,12,2026-01,NVIDIA Isaac GR00T N1.6 - A Foundation Model for Generalist Robots.
Jupyter,OmniParser,Autre,,,oui,,6,2026-01,A simple screen parsing tool towards pure vision based GUI agent
Jupyter,ai-agents-for-beginners,ML,,,oui,,54,2026-01,12 Lessons to Get Started Building AI Agents
Jupyter,prompt-eng-interactive-tutorial,Autre,,,oui,,24,2026-01,Anthropic's Interactive Prompt Engineering Tutorial
Jupyter,learn-agentic-ai,DataViz,,,oui,,3,2026-01,"Learn Agentic AI using Dapr Agentic Cloud Ascent (DACA) Design Pattern and Agent-Native Cloud Technologies: OpenAI Agents SDK, Memory, MCP, A2A, Knowledge Graphs, Dapr, Rancher Desktop, and Kubernetes."
Jupyter,phoenix,ML,,,oui,,9,2026-01,AI Observability & Evaluation
Jupyter,airllm,ML,,,oui,,51,2026-01,AirLLM 70B inference with single 4GB GPU
Jupyter,silero-models,ML,,,oui,,5,2026-01,Silero Models: pre-trained text-to-speech models made embarrassingly simple
Jupyter,agents,ML,,,oui,,14,2026-01,Repo for the Complete Agentic AI Engineering Course
Jupyter,claude-cookbooks,Autre,,,oui,,46,2026-01,A collection of notebooks/recipes showcasing some fun and effective ways of using Claude.
Jupyter,GenerativeAIExamples,ML,,,oui,,1,2026-01,Generative AI reference workflows optimized for accelerated infrastructure and microservice architecture.
