Langage,Nom,Type,Déjà_connu,Maîtrise,À_travailler,Objectif_personnel,Étoiles,Date,Description
Python,markitdown,Autre,,,,,2798,2026-06,Pas de description
Python,hermes-webui,Autre,non,non,oui,Découvrir,357,2026-06,Pas de description
Python,MoneyPrinterTurbo,Autre,,,,,1937,2026-06,Pas de description
Python,Scrapling,Autre,non,non,oui,Découvrir,606,2026-06,Pas de description
Python,heretic,Autre,non,non,oui,Découvrir,241,2026-06,Pas de description
Python,TradingAgents,Autre,,,,,284,2026-06,Pas de description
Python,VoxCPM,Autre,non,non,oui,Découvrir,635,2026-06,Pas de description
Python,hackingtool,Autre,,,,,141,2026-06,Pas de description
Python,OBLITERATUS,Autre,non,non,oui,Découvrir,62,2026-06,Pas de description
Python,freqtrade,Autre,,,,,68,2026-06,Pas de description
Python,claude-code,Autre,,,,,489,2026-06,Pas de description
Python,social-auto-upload,Autre,non,non,oui,Découvrir,286,2026-06,Pas de description
JavaScript,impeccable,Autre,,,,,317,2026-06,Pas de description
JavaScript,babysitter,Autre,non,non,oui,Découvrir,58,2026-06,Pas de description
JavaScript,ECC,Autre,non,non,oui,Découvrir,1694,2026-06,Pas de description
JavaScript,skills-for-copilot-studio,Autre,non,non,oui,Découvrir,5,2026-06,Pas de description
JavaScript,Travel-Plans-,Autre,non,non,oui,Découvrir,7,2026-06,Pas de description
JavaScript,GSAP,Autre,,,,,92,2026-06,Pas de description
JavaScript,reveal.js,Autre,non,non,oui,Découvrir,157,2026-06,Pas de description
JavaScript,WebKit,Autre,non,non,oui,Découvrir,4,2026-06,Pas de description
JavaScript,marketingskills,Autre,non,non,oui,Découvrir,154,2026-06,Pas de description
JavaScript,learnGitBranching,Autre,non,non,oui,Découvrir,37,2026-06,Pas de description
JavaScript,node,Autre,,,,,12,2026-06,Pas de description
JavaScript,github-readme-stats,Autre,non,non,oui,Découvrir,16,2026-06,Pas de description
JavaScript,svelte,Autre,,,,,20,2026-06,Pas de description
Rust,fff,Autre,,,,,121,2026-06,Pas de description
Rust,herdr,Autre,non,non,oui,Découvrir,226,2026-06,Pas de description
Rust,liteparse,Autre,non,non,oui,Découvrir,461,2026-06,Pas de description
Rust,rust,Autre,,,,,56,2026-06,Pas de description
Rust,zeroclaw,Autre,non,non,oui,Découvrir,30,2026-06,Pas de description
Rust,servo,Autre,non,non,oui,Découvrir,15,2026-06,Pas de description
Rust,Seelen-UI,Autre,non,non,oui,Découvrir,12,2026-06,Pas de description
Rust,bevy,Autre,,,,,13,2026-06,Pas de description
Rust,llmfit,Autre,non,non,oui,Découvrir,115,2026-06,Pas de description
Rust,nautilus_trader,Autre,,,,,33,2026-06,Pas de description
Rust,cc-switch,Autre,,,,,937,2026-06,Pas de description
Rust,coreutils,Autre,non,non,oui,Découvrir,11,2026-06,Pas de description
Rust,RuView,Autre,non,non,oui,Découvrir,771,2026-06,Pas de description
Rust,sail,Autre,non,non,oui,Découvrir,13,2026-06,Pas de description
Go,godoxy,Autre,non,non,oui,Découvrir,86,2026-06,Pas de description
Go,sing-box,Autre,,,,,50,2026-06,Pas de description
Go,kubernetes,Autre,,,,,41,2026-06,Pas de description
Go,Pentest-Swarm-AI,Autre,non,non,oui,Découvrir,155,2026-06,Pas de description
Go,nofx,Autre,,,,,29,2026-06,Pas de description
Go,awesome-go,Autre,non,non,oui,Découvrir,126,2026-06,Pas de description
Go,cli-printing-press,Autre,non,non,oui,Découvrir,73,2026-06,Pas de description
Go,go-github,Autre,non,non,oui,Découvrir,1,2026-06,Pas de description
Go,buildkit,Autre,non,non,oui,Découvrir,2,2026-06,Pas de description
Go,git-lrc,Autre,non,non,oui,Découvrir,17,2026-06,Pas de description
Go,prometheus,Autre,non,non,oui,Découvrir,21,2026-06,Pas de description
Go,terraform,Autre,,,,,16,2026-06,Pas de description
Go,external-secrets,Autre,non,non,oui,Découvrir,2,2026-06,Pas de description
Go,LocalAI,Autre,,,,,42,2026-06,Pas de description
Go,soft-serve,Autre,non,non,oui,Découvrir,11,2026-06,Pas de description
Go,containerd,Autre,,,,,7,2026-06,Pas de description
TypeScript,supermemory,Autre,non,non,oui,Découvrir,264,2026-06,Pas de description
TypeScript,compound-engineering-plugin,Autre,non,non,oui,Découvrir,251,2026-06,Pas de description
TypeScript,oh-my-pi,Autre,non,non,oui,Découvrir,333,2026-06,Pas de description
TypeScript,vscode,Autre,non,non,oui,Découvrir,65,2026-06,Pas de description
TypeScript,project-nomad,Autre,non,non,oui,Découvrir,374,2026-06,Pas de description
TypeScript,pi-subagents,Autre,non,non,oui,Découvrir,69,2026-06,Pas de description
TypeScript,flowsint,Autre,,,,,351,2026-06,Pas de description
TypeScript,docs,Autre,,,,,27,2026-06,Pas de description
TypeScript,ruflo,Autre,,,,,354,2026-06,Pas de description
TypeScript,better-auth,Autre,,,,,19,2026-06,Pas de description
TypeScript,3x-ui,Autre,non,non,oui,Découvrir,128,2026-06,Pas de description
TypeScript,iptv,Autre,,,,,65,2026-06,Pas de description
